Z propeno,F in,D/F,RR,QREF    ,QCOND   ,FTOPO   ,FFUNDO  ,YETANO  ,YPROPENO,YPROPANO,YPES,XETANO  ,XPROPENO,XPROPANO,TEMPTOPO,TEMPFUND,DELTAP  
0.409611055,1426.5,0.4594,4,1907953.92,-1940437.57,31834.6941,37446.0866,0.046058469,0.766555252,0.186668688,0.000717591,4.33E-10,0.004942858,0.006784116,310.802411,372.904539,0.1665874
0.409611055,1426.5,0.55,1,2302295.59,-2362279.29,38112.9319,31175.2832,0.038471389,0.64509962,0.162530057,0.153898934,1.25E-11,4.83E-05,6.68E-05,315.855081,374.889109,0.1723197
0.409611055,1426.5,0.55,1.5,2302366.7,-2362494.46,38112.9331,31175.2797,0.038471394,0.645099722,0.162530101,0.153898783,1.25E-11,4.83E-05,6.68E-05,315.855184,374.889027,0.1723205
0.409611055,1426.5,0.55,1.98,2302366.13,-2362493.45,38112.933,31175.2799,0.038471393,0.645099714,0.162530099,0.153898794,1.25E-11,4.83E-05,6.68E-05,315.855185,374.889037,0.1723206
0.409611055,1426.5,0.55,2.5,2302366.14,-2362493.45,38112.933,31175.2799,0.038471393,0.645099715,0.162530099,0.153898793,1.25E-11,4.83E-05,6.68E-05,315.855185,374.889036,0.1723206
0.409611055,1426.5,0.55,3,2302366.13,-2362493.44,38112.933,31175.2799,0.038471393,0.645099715,0.162530099,0.153898793,1.25E-11,4.83E-05,6.68E-05,315.855185,374.889036,0.1723206
0.409611055,1426.5,0.55,4,2302366.13,-2362493.44,38112.933,31175.2799,0.038471393,0.645099715,0.162530099,0.153898793,1.25E-11,4.83E-05,6.68E-05,315.855185,374.889036,0.1723206
0.409611055,1426.5,0.65,1,2715632.67,-2806271.01,45042.5562,24253.6857,0.032552713,0.545882641,0.137565588,0.283999058,2.27E-12,8.05E-06,1.13E-05,320.859653,376.134462,0.1773486
0.409611055,1426.5,0.65,1.5,2715596.63,-2806226.69,45042.5581,24253.6844,0.03255271,0.545882593,0.137565574,0.283999123,2.28E-12,8.05E-06,1.13E-05,320.85918,376.134016,0.1773461
0.409611055,1426.5,0.65,1.98,2715593.29,-2806224.35,45042.5581,24253.685,0.032552709,0.545882568,0.137565568,0.283999155,2.27E-12,8.05E-06,1.13E-05,320.859167,376.134113,0.1773444
0.409611055,1426.5,0.65,2.5,2715593.47,-2806224.6,45042.558,24253.6851,0.032552709,0.54588257,0.137565568,0.283999153,2.27E-12,8.05E-06,1.13E-05,320.859168,376.134095,0.1773445
0.409611055,1426.5,0.65,3,2715593.4,-2806224.51,45042.558,24253.6851,0.032552709,0.545882571,0.137565569,0.283999151,2.27E-12,8.05E-06,1.13E-05,320.859167,376.134098,0.1773445
0.409611055,1426.5,0.65,4,2715593.42,-2806224.54,45042.558,24253.6851,0.032552709,0.545882571,0.137565569,0.283999151,2.27E-12,8.05E-06,1.13E-05,320.859168,376.134097,0.1773445
0.409611055,1556.2,0.25,1,1071383.82,-1189591.22,18899.1964,56668.2282,0.084619962,0.759768946,0.154983712,0.00062738,5.69E-06,0.219959555,0.067602534,306.561677,349.919043,0.1614239
0.409611055,1556.2,0.25,1.5,1071362.43,-1189592.5,18899.1962,56668.2278,0.084619948,0.759764751,0.154987935,0.000627366,5.70E-06,0.219960974,0.067601129,306.561699,349.918635,0.1614248
0.409611055,1556.2,0.25,1.98,1071362.43,-1189592.5,18899.1961,56668.2278,0.084619948,0.759764742,0.154987943,0.000627367,5.70E-06,0.219960976,0.067601126,306.561699,349.918635,0.1614248
0.409611055,1556.2,0.25,2.5,1071362.43,-1189592.5,18899.1961,56668.2278,0.084619948,0.759764742,0.154987943,0.000627367,5.70E-06,0.219960976,0.067601126,306.561699,349.918635,0.1614248
0.409611055,1556.2,0.25,3,1071362.43,-1189592.5,18899.1961,56668.2278,0.084619948,0.759764742,0.154987943,0.000627367,5.70E-06,0.219960976,0.067601126,306.561699,349.918635,0.1614248
0.409611055,1556.2,0.25,4,1071362.43,-1189592.5,18899.1961,56668.2278,0.084619948,0.759764742,0.154987943,0.000627367,5.70E-06,0.219960976,0.067601126,306.561699,349.918635,0.1614248
0.409611055,1556.2,0.35,1,1546190.55,-1634039.06,26458.8749,49114.6075,0.060454929,0.778171935,0.160689761,0.000683375,5.50E-08,0.126931444,0.051070617,309.10383,358.240037,0.1649314
0.409611055,1556.2,0.35,1.5,1546184.18,-1634041.05,26458.8745,49114.6077,0.060454929,0.778170113,0.160691574,0.000683384,5.52E-08,0.126932427,0.051069641,309.103847,358.239983,0.1649307
